Country,Sex,Age,MM,YYYY
AUSTRALIA,,,Mar,1967
AUSTRALIA,M,,Sep,1966
BAHAMAS,M,,,
SOUTH AFRICA,M,,Aug,1966
USA,M,26,,
USA,M,46,Jul,1966
USA,M,24,May,1966
USA,F,15,,
PANAMA,,,Nov,1965
PHILIPPINES,M,,Aug,1965
USA,M,6,Jun,1965
USA,M,,Jun,1965
USA,M,19,Apr,1965
USA,M,,Mar,1965
USA,M,21,Jan,1965
SOUTH AFRICA,,,,
USA,,,Oct,1964
,M,24,Sep,1964
USA,M,18,Aug,1964
USA,,,Jul,1964
USA,F,29,Jun,1964
SOUTH AFRICA,M,40,Jun,1964
AUSTRALIA,M,23,Feb,1964
NEW ZEALAND,M,,Jan,1964
ATLANTIC OCEAN,F,,Dec,1963
USA,,25,Sep,1963
USA,M,,May,1963
USA,M,,Apr,1963
USA,M,,Feb,1963
AUSTRALIA,M,25,Jan,1963
AUSTRALIA,M,,Nov,1962
USA,F,43,Oct,1962
GREECE,,,Jul,1962
USA,M,,Jun,1962
SOUTH AFRICA,M,40,Jan,1962
AUSTRALIA,M,25,Jan,1962
MEXICO,,,Nov,1961
USA,M,45,Oct,1961
AUSTRALIA,,,Sep,1961
USA,M,10,Apr,1961
USA,M,,Feb,1961
SOUTH AFRICA,,,Jan,1961
USA,F,51,Nov,1960
AUSTRALIA,M,24,Oct,1960
USA,M,,Oct,1960
JOHNSTON ISLAND,M,37,Oct,1960
MARSHALL ISLANDS,M,,Sep,1960
MARSHALL ISLANDS,M,,Sep,1960
USA,M,,Aug,1960
MOZAMBIQUE,,,Aug,1960
USA,M,"37, 67, 35, 27,  ? & 27",Jun,1960
BERMUDA,M,"21, 34,24 & 35",Apr,1960
USA,M,36,Feb,1960
USA,,,Feb,1960
CARIBBEAN SEA,M,,,
AUSTRALIA,M,,Dec,1959
USA,,,Nov,1959
BERMUDA,F,29,Sep,1959
USA,M,,Sep,1959
AUSTRALIA,M,,Aug,1959
JAPAN,M,14,Aug,1959
PHILIPPINES,M,10,Aug,1959
USA,M,21,Aug,1959
USA,M,,Aug,1959
ITALY,M,34 & 19,,2176
USA,,,Jun,1959
AUSTRALIA,M,22,Apr,1959
TURKEY,,,Dec,1958
SOUTH AFRICA,M,,Nov,1958
AUSTRALIA,F,,Jun,1958
SOUTH AFRICA,M,,Jun,1958
AUSTRALIA,M,21,Feb,1958
JAPAN,M,50,Jan,1958
CUBA,,,Jun,1957
SRI LANKA,M,,,1957
CUBA,,2 to 3 months,,1957
USA,M,,,1955
JAPAN,M,13,Oct,1954
ITALY,M,,Jul,1954
CROATIA,,,Jul,1954
USA,M,,Apr,1954
MEXICO,M,19,Aug,1953
GUATEMALA,F,,Dec,1962
SOUTH AFRICA,M,18,Aug,1952
MOZAMBIQUE,M,,,1951
NORTH ATLANTIC OCEAN,,,Oct,1951
AUSTRALIA,M,,Jan,1951
USA,M,,Jul,1950
AUSTRALIA,M,,Mar,1950
USA,M,,Jan,1950
USA,M,,,1950
AUSTRALIA,M,,Nov,1949
ITALY,M,17,Aug,1949
AUSTRALIA,M,32,Jan,1949
AUSTRALIA,,,Jan,1949
SENEGAL,,,Mar,1948
SOUTH AFRICA,,,Dec,1947
GREECE,M,,Jul,1947
AUSTRALIA,M,,Nov,1944
NORTH PACIFIC OCEAN,M,,Jun,1944
USA,M,,Oct,1943
MEXICO,M,68,Jul,1943
PACIFIC OCEAN,M,,May,1943
USA,M,,Apr,1943
BRAZIL,M,,Jun,1942
INDIAN OCEAN,,,Apr,1942
AUSTRALIA,M,18,Mar,1942
AUSTRALIA,M,,Aug,1941
SOUTH AFRICA,,,,1940
SOUTH AFRICA,F,,,1940
SOUTH AFRICA,F,,,1940
AUSTRALIA,M,40,Dec,1939
AUSTRALIA,M,24,Jan,1938
TURKEY,M,,Aug,1937
ITALY,,,Jul,1937
AUSTRALIA,M,16,Mar,1937
AUSTRALIA,M,43,Mar,1937
AUSTRALIA,M,,,1937
AUSTRALIA,M,17,Jan,1936
UNITED KINGDOM,M,,Aug,1935
USA,M,23,Jul,1935
USA,M,53,Jul,1935
AUSTRALIA,M,40,Apr,1935
ISRAEL,,,Jan,1935
AUSTRALIA,M,5,Jan,1935
ITALY / CROATIA,F,,Aug,1934
AUSTRALIA,M,,Jun,1933
USA,M,17,Jul,1932
USA,M,,Sep,1931
USA,M,,Aug,1931
AUSTRALIA,M,39,Feb,1931
COSTA RICA,,,May,1930
SOUTH AFRICA,M,17,Apr,1930
CAPE VERDE,F,,Jul,1929
AUSTRALIA,M,,,1929
USA,M,,Aug,1928
INDIA,M,,May,1928
USA,,,Jan,1928
USA,M,,,
SPAIN,M,,Jul,1926
AUSTRALIA,,,Jun,1925
AUSTRALIA,M,,Apr,1924
AUSTRALIA,M,,Feb,1924
AUSTRALIA,M,,Nov,1923
AUSTRALIA,M,,Oct,1923
AUSTRALIA,M,,Jan,1923
CUBA,M,,Jan,1923
AUSTRALIA,M,,Oct,1922
AUSTRALIA,M,,Feb,1922
PHILIPPINES,,,Jan,1921
USA,M,30,Jul,1920
USA,F,,Jul,1916
EGYPT,M,,May,1915
NEW ZEALAND,M,,Jan,1915
USA,M,,,
USA,M,,Mar,1914
USA,M,,Aug,1913
USA,F,,Aug,1913
ITALY,,,Aug,1913
SOUTH AFRICA,M,,May,1912
USA,M,,Nov,1911
CROATIA,M,,Dec,1910
USA,M,,May,1910
USA,M,,Mar,1910
USA,M,,,1910
USA,F,19,Apr,1909
,M,36,Jan,1909
ITALY,,,Jan,1909
SPAIN,,,Jul,1908
USA,M,,May,1908
HAITI,M,,Oct,1907
ENGLAND,M,,Sep,1907
AUSTRALIA,M,,Jul,1907
MOZAMBIQUE,M,,Jul,1906
AUSTRALIA,M,18,April,1906
NEW ZEALAND,M,,Feb,1906
AUSTRALIA,M,,Dec,1905
EGYPT,M,,Aug,1905
ITALY,M,8,Jul,1905
AUSTRALIA,,,Mar,1905
AUSTRALIA,M,23,Feb,1905
AUSTRALIA,M,39,Jan,1905
USA,M,,,1904
SOUTH AFRICA,M,,Apr,1902
SOUTH AFRICA,M,,Jan,1902
ITALY,M,20,Jul,1901
YEMEN ,M,,Jun,1901
SOUTH AFRICA,M,,Oct,1900
USA,M,,Jul,1900
NEW ZEALAND,M,,Jun,1899
PHILIPPINES,M,,May,1899
AUSTRALIA,F,13,Jan,1899
USA,M,,Aug,1898
AUSTRALIA,M,,Jul,1898
CRETE,M,,,1898
MEXICO,M,,Oct,1897
CUBA,M,,Sep,1895
CROATIA,,,Oct,1893
AUSTRALIA,M,,Apr,1893
FRANCE,,,Jun,1892
USA,M,,Jun,1891
AUSTRALIA,,,Dec,1890
SOUTH AFRICA,M,,May,1890
GREECE,,,Nov,1889
USA,M,,Nov,1889
JAMAICA,M,,Jul,1888
CROATIA,,,Jul,1888
AUSTRALIA,M,,Jun,1888
CROATIA,,,Sep,1887
USA,F,,Jun,1886
NEW ZEALAND,M,,Apr,1886
NEW ZEALAND,M,,Mar,1886
AUSTRALIA,M,,Mar,1886
USA,M,,Aug,1884
USA,M,,,1883
AUSTRALIA,M,,Nov,1881
USA,M,18,Oct,1881
MEXICO,M,,May,1880
SYRIA,M,,,1880
USA,M,,,
AUSTRALIA,M,,Mar,1879
INDIAN OCEAN,M,,Aug,1877
SOUTH AFRICA,M,,Jan,1877
SOUTH AFRICA,,,Aug,1875
AUSTRALIA,M,,Jan,1875
AUSTRALIA,M,,Jun,1873
AZORES,M,,Nov,1872
CROATIA,M,,Aug,1872
Fiji,M,,Jan,1872
AUSTRALIA,M,,Dec,1871
GUYANA,M,,May,1871
,M,,Apr,1869
AUSTRALIA,M,,Apr,1866
CHINA,M,,Apr,1864
AUSTRALIA,M,,,1864
SOUTH AFRICA,M,26,Feb,1863
NEW ZEALAND,,,Dec,1862
SPAIN,M,,Aug,1862
USA,M,,Aug,1858
USA,M,,Aug,1858
USA,M,,,1853
AUSTRALIA,M,,Dec,1852
ATLANTIC OCEAN,F,1,Jul,1952
AUSTRALIA,M,,Jan,1849
USA,M,,Jul,1848
USA,M,,,1847
AUSTRALIA,M,,Nov,1839
USA,M,,,
SPAIN,,,,1836
AUSTRALIA,M,,,
ENGLAND,,,Aug,1826
JAMAICA,,,Dec,1823
SPAIN,M,,Jul,1819
NORWAY,M,,May,1818
ANTIGUA,,,May,1808
USA,M,,,
USA,M,,Sep,1805
FRANCE,M,,,1767
ICELAND,,,,1733
ROATAN,M,,,1723
USA,M,,,
